mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
27115;1;15/01/2020;85000;6055
27116;1;16/01/2020;85000;16799
27117;1;20/01/2020;85000;1049
27118;1;21/01/2020;85000;559
27119;1;22/01/2020;85000;13471
27120;1;23/01/2020;85000;735
27121;1;24/01/2020;85000;2185
27122;1;27/01/2020;85000;735
27123;1;28/01/2020;85000;8731
27124;1;29/01/2020;85000;1339
27125;1;30/01/2020;85000;8444
27126;1;31/01/2020;85000;5148
27127;1;04/02/2020;85000;7047
27128;1;06/02/2020;85000;727
27129;1;07/02/2020;85000;9986
27130;1;11/02/2020;85000;12984
27131;1;12/02/2020;85000;567
27132;1;13/02/2020;85000;7585
27133;1;14/02/2020;85000;2461
27134;1;18/02/2020;85000;3304
27135;1;21/02/2020;85000;4658
27136;1;24/02/2020;85000;3290
27137;1;25/02/2020;85000;6389
27138;1;26/02/2020;85000;283
27139;1;29/02/2020;85000;10037
27140;1;02/03/2020;85000;4726
27141;1;05/03/2020;85000;4992
27142;1;06/03/2020;85000;6100
27143;1;09/03/2020;85000;4496
27144;1;11/03/2020;85000;11542
27145;1;12/03/2020;85000;4875
27146;1;14/03/2020;85000;9750
27147;1;16/03/2020;85000;7604
27148;1;02/04/2020;85000;6329
27149;1;08/04/2020;85000;2158
27150;1;14/04/2020;85000;4600
27151;1;15/04/2020;85000;1555
27152;1;17/04/2020;85000;14037
27153;1;20/04/2020;85000;4108
27154;1;21/04/2020;85000;4113
27155;1;24/04/2020;85000;2167
27156;1;29/04/2020;85000;9279
27157;1;30/04/2020;85000;7656
27158;1;04/05/2020;85000;3988
27159;1;07/05/2020;85000;9624
27160;1;11/05/2020;85000;6312
27161;1;12/05/2020;85000;368
27162;1;13/05/2020;85000;1627
27163;1;14/05/2020;85000;4217
27164;1;18/05/2020;85000;11717
27165;1;19/05/2020;85000;5590
27166;1;20/05/2020;85000;7420
27167;1;22/05/2020;85000;1178
27168;1;25/05/2020;85000;9732
27169;1;26/05/2020;85000;2548
27170;1;27/05/2020;85000;9090
27171;1;28/05/2020;85000;1539
27172;1;29/05/2020;85000;647
27173;1;02/06/2020;85000;5215
27174;1;03/06/2020;85000;3479
27175;1;04/06/2020;85000;11570
27176;1;05/06/2020;85000;7894
27177;1;08/06/2020;85000;3820
